Month,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
197101,18.8114,15.1871,16.0232,6.8999,5.6961,6.8541
197102,5.7847,4.4186,6.4243,0.557,2.1265,2.6136
197103,5.3904,6.1794,6.6535,3.0811,4.4487,6.4035
197104,2.9088,3.4885,1.4063,3.6298,2.5908,4.2522
197105,-5.1808,-5.4929,-6.6873,-3.1331,-3.5975,-3.3314
197106,-3.3918,-1.55,-2.4481,-0.803,0.3926,-0.0068
197107,-5.9368,-5.0817,-7.8082,-5.1235,-3.6283,-5.4828
197108,4.5335,4.4401,3.6047,7.238,4.0647,5.758
197109,-1.5252,-0.5763,0.8978,-0.3802,-0.894,-0.4064
197110,-6.3742,-5.7346,-6.5516,-5.8092,-4.0107,-5.2285
197111,-4.1621,-4.2261,-4.2211,-0.9387,-1.1956,-1.2214
197112,11.7454,12.3414,14.4078,11.2435,9.9009,11.4551
197201,15.6048,11.2271,12.5883,4.6053,2.2289,3.5079
197202,5.476,3.7106,4.3233,2.9269,2.9031,3.9265
197203,-0.4981,0.1801,-0.3245,0.4564,0.4387,0.8648
197204,0.8374,0.6766,-0.752,0.037,0.384,0.2597
197205,-2.6677,-2.8834,-3.4788,-0.9244,-0.0523,1.1956
197206,-3.3985,-3.2268,-4.1465,-3.4545,-2.8781,-2.8475
197207,-3.021,-2.6971,-4.6332,-2.0076,-1.5691,-2.4403
197208,0.6552,1.1332,-0.8877,5.539,4.0497,2.1437
197209,-3.9138,-3.1955,-3.8093,-3.6643,-1.6903,-1.5071
197210,-2.2682,-1.4743,-3.4741,0.3943,0.7203,-0.1142
197211,4.7127,4.7559,4.2032,7.2834,7.1226,5.6437
197212,-2.9402,-1.9974,-2.8183,-2.1695,-0.5179,0.294
197301,-1.2281,-3.3109,-6.1763,-6.0957,-4.823,-6.6122
197302,-7.7082,-7.3341,-9.5293,-6.1987,-4.9129,-6.5361
197303,-2.082,-2.8748,-3.7118,-2.0304,-1.4958,-3.2122
197304,-6.6197,-5.8342,-10.1027,-5.5031,-5.1517,-8.1971
197305,-10.0692,-8.4925,-10.5196,-7.0348,-2.8894,-5.8763
197306,-2.408,-3.0432,-5.2123,-3.7815,-2.7805,-2.9254
197307,11.2557,11.2198,16.8229,8.6058,6.7595,10.3557
197308,-4.7799,-4.6453,-5.7326,-1.2711,-2.2696,-3.0952
197309,7.5266,7.9269,9.8991,10.6011,9.5847,9.0516
197310,2.0614,0.412,-1.1677,1.827,-0.8931,-1.0015
197311,-18.3635,-17.6689,-21.3689,-15.106,-14.1413,-17.1925
197312,-5.4148,-4.9554,-4.2553,2.7373,1.2854,0.612
