Month,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
197101,19.0496,15.8469,14.35,7.0346,6.1725,5.887
197102,6.7138,4.5676,7.079,1.5085,1.3015,2.8952
197103,5.5584,6.0633,7.1672,4.7025,3.7794,5.7996
197104,3.0264,2.5871,1.718,4.2635,2.5884,3.65
197105,-6.2192,-5.496,-5.7292,-4.0968,-3.4796,-2.6738
197106,-3.6081,-1.9386,-1.4497,-1.1464,0.5872,0.1121
197107,-7.043,-5.157,-7.0721,-5.3415,-4.1419,-4.5831
197108,3.8449,4.2408,4.5989,6.9078,3.6747,5.839
197109,-1.8795,-0.0239,1.5591,-2.5029,-0.6897,0.3353
197110,-7.3135,-4.9114,-6.2863,-5.5406,-4.3019,-4.7009
197111,-5.1267,-3.6284,-3.4692,-2.8382,-1.2787,0.0448
197112,12.5729,12.9374,13.5078,12.0644,9.7396,10.9901
197201,17.4069,11.0704,9.7426,4.3021,1.8616,3.498
197202,5.3384,4.1541,4.4628,2.3864,2.4007,4.8422
197203,-0.4563,-0.257,0.0631,-0.5826,0.8736,1.0922
197204,0.2371,0.3704,-0.1806,1.6726,-0.5072,0.4065
197205,-3.8339,-2.1105,-2.5181,-1.1765,-0.279,1.6945
197206,-3.7396,-3.3774,-4.0663,-4.9762,-2.8475,-2.0891
197207,-2.9356,-2.9843,-4.9701,-2.6813,-1.6113,-1.9048
197208,0.0717,0.5567,0.1427,4.9338,3.3259,2.5505
197209,-4.3034,-3.3419,-3.6924,-3.2568,-1.6443,-1.841
197210,-3.3515,-1.3863,-2.3012,-0.151,0.7741,0.3638
197211,3.8607,5.0729,5.3257,7.9532,7.0911,5.2968
197212,-3.2642,-1.8038,-3.0927,-2.0692,-1.0736,0.9066
197301,-1.3743,-3.9202,-5.5367,-5.5478,-5.9661,-5.5151
197302,-7.4281,-8.0486,-9.5888,-4.842,-5.7239,-6.4521
197303,-1.8799,-3.2656,-3.9831,-1.0947,-2.5319,-2.2401
197304,-6.6995,-6.5808,-9.47,-5.9411,-5.1503,-8.1284
197305,-10.4027,-9.15,-9.5057,-5.3776,-4.2972,-5.061
197306,-2.4908,-3.4367,-5.5174,-2.1493,-3.1199,-3.5642
197307,12.9446,12.1445,15.858,9.4338,7.1239,10.2399
197308,-4.0844,-5.3527,-6.0562,-2.0126,-2.1465,-3.0391
197309,7.5395,8.528,9.2966,9.6833,9.6682,9.1039
197310,1.6167,0.6124,-1.5604,1.2256,-0.0463,-2.1766
197311,-18.1763,-18.7443,-21.7512,-12.6321,-15.2073,-17.369
197312,-5.9352,-4.3611,-4.139,3.2115,1.4532,-0.3261
197401,21.1754,13.8546,14.3556,5.3323,4.4554,2.6509
197402,1.1049,1.0181,0.6011,0.5212,1.0375,-0.9007
197403,1.592,1.3081,2.0782,-4.0431,-2.0153,-0.849
