Month,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
193510,8.96,8.78,9.87,5.53,6.05,8.79
193511,20.29,11.22,10.65,6.2,4.59,4.02
193512,3.52,6.65,10.21,4.54,3.73,5.36
193601,17.89,11.38,12.08,7.19,6.81,6.27
193602,3.8,7.24,7.5,0.9,2.8,2.34
193603,0.63,0.71,2.62,-0.54,1.71,0.94
193604,-7.66,-14.38,-16.94,-4.73,-8.39,-11.12
193605,3.92,5.15,6.95,4.27,5.54,5.99
193606,-0.51,-0.17,-1.12,2.38,2.24,3.89
193607,8.75,8.3,9.71,2.52,8.4,7.36
193608,1.34,1.98,2.57,0.33,1.48,0.32
193609,2.75,4.12,4.33,0.97,0.53,1.93
193610,6.48,7.29,4.92,5.24,7.45,8.77
193611,7.71,11.25,12.17,3.56,2.52,3.32
193612,2.81,5.22,4.29,-0.97,-0.51,1.78
193701,11.17,9.32,7.12,3.38,2.81,3.72
193702,2.99,3.72,4.64,-0.16,-0.07,4.15
193703,-1.75,-0.89,-0.08,-1.42,-0.95,2.52
193704,-9.65,-9.69,-12.4,-6.8,-5.55,-11.48
193705,-3.4,-1.39,-2.26,-0.27,-0.99,-0.4
193706,-9.85,-7.2,-9.38,-3.93,-4.39,-3.04
193707,12.17,9.04,10.83,9.46,7.94,10
193708,-4.33,-4.01,-6.13,-4.57,-4.05,-6.34
193709,-20.23,-19.75,-26.28,-10.68,-11.3,-18.92
193710,-10.29,-10.16,-10.96,-8.74,-8.83,-11.19
193711,-12.81,-11.02,-11.08,-3.97,-9.2,-7.63
193712,-14.52,-12.01,-10.24,-6.98,-6.28,-1.85
193801,7.21,4.33,3.95,-0.82,2.15,-0.42
193802,7.98,8.07,4.1,7.47,7.17,5.2
193803,-36.99,-29.93,-22.61,-38.21,-28.91,-21.1
193804,27.54,21.63,18.1,21.37,17.03,13.06
193805,-10.17,-8.11,-3,-9.46,-6.94,-2.36
193806,40.64,36.89,16.3,43.79,35.13,18.42
193807,16.74,14.05,10.11,11.13,11.43,4.87
193808,-8.88,-6.56,-3.17,-4.7,-2.03,-2.5
193809,-3.16,-2.41,-0.79,-1.48,1,1.22
193810,19.36,15.63,13.49,16.3,6.74,6.77
193811,-5.77,-4.32,-3.15,-4.91,-1.65,-1.28
193812,0.46,3.72,5.83,5.33,4.01,4.05
193901,-6.4,-9.36,-9.44,-4.11,-6.35,-7.18
193902,3.13,4.01,6.66,2.15,2.88,5.13
193903,-17.89,-19.49,-20.32,-12.97,-10.4,-13.51
193904,-1.89,0.3,2.55,-0.37,-0.46,0.59
193905,8.15,9.61,11.73,4.1,6.13,7.63
193906,-10.24,-8.98,-8.09,-6.51,-5.2,-4.74
193907,14.28,15.8,16.1,12.57,10.09,9.6
193908,-13.93,-11.95,-8.96,-12.17,-7.42,-5.34
193909,61.07,40.41,25.74,34.06,21.27,8.7
193910,-4.8,-0.16,2.46,-3.94,-1.98,1.75
193911,-7.38,-9.95,-9.31,-4.72,-3.22,-3.23
193912,-0.65,2.08,5.79,-0.22,3.2,4.15
194001,-3.05,-2.16,-1.71,-2.91,-3.74,-0.76
194002,3.31,3.72,4.43,-0.65,1.31,1.84
194003,2.19,3.72,2.45,3.01,1.86,2.02
194004,0.87,1.12,4.41,-1.64,0.08,1.48
194005,-29.05,-28.79,-27.33,-26.26,-20.43,-22.26
194006,7.56,6.01,6.87,6.49,7.57,2.88
194007,2.91,3.59,5.26,4.04,2.78,3.38
194008,2.43,2.55,2.88,4.46,2.68,0.8
194009,5.11,4.27,4.61,2.42,2.26,2.39
194010,7.74,4.42,3.98,9.84,4.8,0.53
194011,-0.73,1.43,2.06,-1.23,-2.19,-1.36
194012,-4.64,-1.26,1.66,0.54,0.75,1.16
194101,2.62,-1.88,-3.71,-1.75,-4.78,-4.85
194102,-3.7,-1.43,-2.23,-1.71,-1.35,-1.36
194103,0.48,1.69,2.83,-0.9,0.74,1.62
194104,-7.3,-6.83,-4.27,-7.88,-5.31,-4.85
194105,0.58,0.4,2.53,-1.08,1.51,1.89
194106,6.95,5.61,7.36,6.28,5.95,4.58
194107,18.15,10.99,11.47,5.82,4.19,8.99
194108,-1.6,-1.47,0.09,0.12,0.25,-1.23
194109,-1.3,-2.07,-2.07,0.19,-1,-2.19
194110,-7.2,-6.9,-4.32,-7.32,-5.85,-0.72
194111,-4.78,-2.64,-1.81,-3.7,-2.45,1.39
194112,-10.93,-8.29,-8.91,-6.01,-3.07,-7.48
194201,14.34,11.08,11.11,4.07,-0.85,0.14
194202,-1.28,-0.98,-1.44,-1.87,-2.29,-3.14
194203,-4.18,-4.88,-3.7,-6.06,-7.04,-6.94
194204,-4.88,-3.66,-4.89,-3.58,-4.59,-5.15
194205,2.72,2.25,-0.29,8.15,6.05,1.75
194206,3.2,2.5,1.47,2.52,3.11,1.62
194207,4.18,4.65,5.06,2.69,3.92,3.35
194208,2.44,2.95,2.27,2.3,1.62,2.2
194209,4.49,3.12,3.36,3.21,2.25,3.05
194210,14.89,8.74,7.86,8.25,6.07,7.25
194211,-3.16,-0.85,-2.03,2.05,-0.29,-1.01
194212,1.74,3.22,4.09,3.02,6.3,6.79
194301,18.47,14.87,19.37,7.82,6.23,6.21
194302,15.38,11.64,10.04,4.75,5.49,7.18
194303,10.88,12.37,15.35,4.59,5.08,9.59
194304,0.24,2.93,7.37,-0.3,0.05,4.94
194305,6.34,8,14.06,4.73,5.76,8.23
194306,1.57,1.33,-0.3,1.69,2.55,0.97
194307,-4.63,-5.96,-11.02,-3.98,-5.15,-6.78
194308,-0.82,0.75,0.68,0.77,2.24,0.69
194309,2.2,3.76,5.01,1.94,2.77,2.68
194310,0.91,-0.47,0.09,-0.71,-1.49,-0.94
194311,-7.9,-8.71,-11.31,-4.88,-5.52,-10.92
194312,9.37,9.13,12.82,4.68,7.54,13.22
194401,4.63,4.73,6.04,1.33,1.96,1.85
194402,1.28,1.73,1.84,-0.22,0.97,-0.11
194403,3.67,3.54,6.29,1.77,2.44,4.36
194404,-3.64,-2.6,-3.24,-1.93,-1.47,-1.29
194405,6.07,6.6,7.62,3.84,5.1,6.43
194406,15.49,9.19,7.39,7.38,4.77,5.05
194407,-1.38,-0.79,-1.12,-1.48,-1.56,-1.36
194408,1.69,2.82,6.6,0.48,2.15,4.95
194409,0.21,0.82,-0.76,0.21,-0.1,-0.97
194410,-0.78,0.63,-0.2,1.14,-0.56,-1.91
194411,2.19,2.09,3.46,1.33,1.97,2.61
194412,8.09,7.04,7.93,2.84,4.53,9.72
194501,5.09,3.75,5.65,1.97,1.77,1.49
194502,8.37,8.65,11.28,5.34,6.39,8.49
194503,-3.28,-5.87,-7.19,-3.07,-4.31,-5.72
194504,6.34,9.11,11.04,6.72,9.14,11.61
194505,3.44,3.02,3.4,1.85,1.1,2.1
194506,3.55,2.79,5.61,-0.52,-0.09,5.64
194507,-3.09,-3.47,-4.86,-1.59,-1.48,-5.06
194508,5.83,8.4,5.3,6.24,6.91,3.97
194509,6.6,7.38,5.82,3.94,4.79,7.53
194510,7.15,8.05,5.87,3.36,3.77,5.13
194511,9.69,10.26,10.88,3.36,5.94,10.68
194512,3.23,2.48,2.1,0.77,0.78,4.4
194601,7.49,11.37,11.26,4.57,7.79,8.32
194602,-5.85,-7.35,-7.05,-5.31,-5.8,-7.02
194603,4.45,5.31,6.42,5.32,6.05,8.74
194604,2.34,5.84,7.22,4.08,4.04,5.26
194605,5.88,7.43,5.12,3.71,4.15,3.24
194606,-3.51,-4.91,-5.91,-2.47,-4.88,-5.12
194607,-4.73,-4.82,-4.47,-2.27,-2.62,-2.74
194608,-7.88,-7.54,-8.69,-7.08,-5.6,-6.33
194609,-16.32,-13.51,-14.12,-10.43,-8.72,-11.15
194610,-1.4,-1.13,-1.03,-2.61,-1.13,-1.03
194611,-0.73,1.1,-0.95,-1.38,1.04,-0.76
194612,5.06,4.11,5.05,5.15,4.9,4.96
194701,6.32,2.94,2.71,7.29,1.99,-1.98
194702,-0.58,-0.46,0.28,0.14,-0.74,-1.71
194703,-5.4,-2.89,-1.42,-4.53,-1.77,-0.39
194704,-11.63,-8.08,-6.2,-8.65,-4.02,-3.97
194705,-6.34,-4.2,-3.03,-3.76,-0.45,-0.4
194706,5.58,6.11,2.84,5.86,6.21,4.9
