Month,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
197101,14.1952,10.6901,11.3465,3.2713,4.0497,6.6397
197102,2.8031,3.0835,4.4683,1.933,1.1632,1.868
197103,5.1094,6.147,7.2889,3.1534,3.9234,6.4702
197104,3.9007,4.2822,2.3786,4.3728,2.8456,4.4605
197105,-4.0908,-4.9081,-5.6151,-3.7194,-3.8727,-2.7261
197106,-2.6058,0.2807,-0.9795,-0.5158,0.5519,1.2115
197107,-5.1321,-4.0721,-7.0178,-4.0531,-3.2442,-5.4006
197108,5.4767,4.3491,4.0726,8.0387,3.3187,4.2403
197109,-1.9046,-0.5422,0.8429,-0.7057,-0.4024,-0.3416
197110,-6.0654,-5.2513,-5.3535,-5.1826,-3.6519,-3.4137
197111,-2.9054,-2.7018,-3.2254,-0.4516,0.2103,0.5793
197112,12.3132,10.5741,13.2013,7.121,8.7511,9.8911
197201,9.8713,7.3835,8.814,3.0442,1.0462,3.5207
197202,4.0598,2.7989,3.585,2.1107,3.0088,3.6289
197203,-0.2181,0.0183,0.9842,1.9943,0.4492,1.1676
197204,0.8963,0.7607,0.401,-1.2807,0.642,0.9918
197205,-1.6431,-1.9168,-1.8925,-0.9443,2.1222,3.0018
197206,-2.4868,-2.9183,-3.5386,-3.1217,-2.0129,-1.3591
197207,-3.4612,-2.4876,-4.2795,-2.0872,0.0353,0.3047
197208,1.8642,1.7843,-0.1045,6.4486,4.2659,2.4867
197209,-3.7709,-2.4901,-2.8774,-3.4888,0.0383,-0.4501
197210,-1.4268,-0.0358,-2.6985,0.0288,1.9165,0.2766
197211,6.1134,6.1331,3.9177,8.1493,5.3622,3.3324
197212,-1.699,-1.0188,-1.3022,-2.3353,1.6204,1.8528
197301,-4.5289,-4.9625,-6.4698,-4.1509,-2.0084,-2.0438
197302,-7.8764,-7.0752,-9.6409,-5.2906,-4.1461,-2.9691
197303,-1.2906,-3.1718,-3.2859,-1.5615,0.0777,-0.8484
197304,-6.0243,-5.1523,-9.4836,-3.9258,-3.3864,-5.7942
197305,-8.8122,-7.319,-8.3184,-4.2014,-1.1154,-1.5044
197306,-2.7642,-2.766,-5.2061,-2.9036,-0.5035,-0.5971
197307,9.9687,10.5816,15.618,6.1131,3.2035,7.4647
197308,-4.2439,-4.192,-4.427,-1.4639,-3.2255,-3.6382
197309,9.8018,8.8664,10.6548,8.8205,4.2452,4.29
197310,1.2488,0.293,-1.8947,1.5711,-0.3761,-0.4711
197311,-17.9015,-17.5809,-20.8625,-13.4618,-10.2521,-13.5682
197312,-1.3886,-2.6955,-1.7378,4.352,1.5013,0.1616
197401,14.4211,10.3077,7.7614,0.9828,-0.5556,-1.2686
197402,1.8489,1.154,-0.5381,2.4812,-0.4526,-0.4171
197403,-0.2268,0.3524,-0.6643,-2.2879,-2.3412,-2.6011
197404,-3.6421,-5.1476,-6.2219,-3.3594,-4.5966,-4.3458
197405,-6.7595,-6.7895,-8.0963,-3.7779,-3.3808,-2.3677
197406,-0.9167,-1.2845,-3.6918,-0.9843,-1.2422,-4.3244
197407,-3.4092,-3.7002,-6.0548,-3.5835,-7.5925,-10.0984
197408,-6.1353,-8.0763,-9.4015,-8.4073,-8.0937,-10.2539
197409,-6.4663,-7.1666,-11.5992,-7.8264,-10.5367,-14.5064
197410,9.0328,9.3599,10.802,18.3103,15.5744,22.4422
197411,-3.2327,-4.2888,-6.4825,-1.4888,-4.3533,-4.1528
197412,-5.8938,-5.4213,-8.4947,-1.2537,-1.3093,-5.1122
197501,26.8992,25.882,28.44,13.5129,12.617,13.7148
197502,4.4772,3.8788,4.8214,3.188,6.5462,7.101
197503,6.1217,6.7886,9.3414,5.1448,1.4978,4.4304
197504,3.9981,4.239,4.4945,4.889,3.6879,7.0657
197505,6.8218,7.6044,8.9227,5.4842,5.8612,4.6046
197506,6.9905,7.5845,6.5581,6.0323,5.1748,4.3454
197507,-2.3413,-2.2194,-3.0691,-4.7213,-7.1816,-6.3803
197508,-5.3864,-4.3902,-5.2433,-3.7743,-1.6349,-2.144
197509,-3.3863,-3.9388,-3.4717,-3.6742,-2.7955,-4.5839
197510,2.8953,2.3012,2.1711,8.3238,7.4628,4.4901
197511,2.6449,2.9476,1.9963,4.1567,4.3432,1.4245
197512,-0.5665,-0.1717,-1.6993,-0.9268,-1.3039,-1.0214
197601,20.7988,18.4385,18.9113,14.1831,12.0468,11.3405
197602,10.4737,8.0104,7.8404,3.4638,-0.1554,-1.6168
197603,2.4769,1.6149,0.7424,3.2993,2.7294,2.8394
197604,-1.4022,-0.784,-0.993,-2.0225,-1.5863,-0.1938
197605,-2.7548,-1.9553,-1.6808,-1.3797,-1.7307,0.3931
197606,3.969,3.7941,4.0414,6.0802,4.8172,4.1578
197607,0.1549,0.924,-0.4518,-0.9103,-0.3904,-0.874
197608,-2.3562,-1.2249,-2.596,-1.799,0.9557,-0.3867
197609,1.5742,3.1098,3.226,2.3766,2.1283,2.9957
197610,-2.1179,-1.9074,-2.1074,-2.9454,-1.7239,-2.3263
197611,2.9017,3.6202,3.8662,0.7185,1.1889,-0.3967
197612,10.7173,9.642,9.0828,7.6623,5.9666,4.8456
197701,2.9499,1.9623,1.7189,-2.966,-3.5605,-5.5994
197702,-1.0867,0.038,-1.2138,-2.3995,-1.5475,-1.8939
197703,0.2024,0.7753,0.2949,-0.9578,-1.4979,-0.8772
197704,2.2398,1.3735,1.3171,0.9001,0.9261,-0.5044
197705,0.1136,0.0914,-0.0099,-1.4081,-0.8168,-1.5127
197706,7.0305,5.5309,7.7018,4.1242,4.2253,5.8882
197707,0.184,0.1205,0.4196,-1.3528,-1.3019,-1.7121
197708,-1.7571,-0.5537,0.0699,-0.273,-1.8774,-0.9001
197709,0.7659,1.6171,1.4559,-1.3792,0.4793,-0.4485
197710,-2.9673,-1.2946,-3.017,-4.406,-4.1692,-3.789
197711,8.1776,7.7045,7.6765,5.1524,3.6138,4.2867
197712,2.0492,1.2951,2.7144,-0.2525,0.7123,0.4202
197801,-1.5952,-3.0575,-3.9092,-5.4787,-5.7558,-6.2312
197802,2.9666,1.8752,1.9705,-1.4495,-0.6423,-2.515
197803,8.2012,6.204,6.2711,3.8548,3.2306,2.0383
197804,7.2614,7.2812,9.455,9.7221,7.414,10.2117
197805,7.0626,4.4526,7.4604,2.7314,1.4462,1.5951
197806,-0.4254,1.3519,-0.3742,-1.0191,-1.8014,-1.0189
197807,5.0337,5.6322,6.4502,5.8671,5.4172,6.0093
197808,9.6715,7.295,8.626,4.1263,3.3219,4.337
197809,-0.2272,-1.1299,-1.2613,0.5726,-0.6663,-1.9995
197810,-20.916,-17.5003,-22.4045,-10.7898,-8.8498,-11.363
197811,5.1101,4.968,7.8896,3.7626,2.8012,3.411
197812,1.8938,1.4453,3.2282,0.5206,1.6891,1.9483
197901,10.1096,7.7411,8.4591,5.3995,4.406,3.897
197902,-2.1014,-2.564,-2.9211,-2.6945,-2.7597,-3.9481
197903,10.1878,7.4814,10.7753,7.9547,5.0652,6.8059
197904,3.6608,1.6926,2.6959,0.0307,0.476,0.5704
197905,-1.0435,-1.3553,-0.8696,-2.4357,-1.4991,-0.9402
197906,5.2026,5.7735,6.084,5.5203,3.7144,5.5305
197907,3.0265,3.5284,2.4735,2.8038,0.7205,2.1703
197908,7.5229,7.6923,8.5739,5.9766,5.4271,7.8597
197909,-0.4473,-0.8406,-0.0461,0.867,-0.1823,-0.5647
197910,-11.2551,-10.1142,-9.867,-5.7298,-6.6838,-7.5635
197911,7.6072,7.1172,10.0904,6.1604,5.1192,7.6719
197912,6.5905,6.0321,7.058,2.0262,1.5046,3.5328
198001,8.3912,7.3809,8.3878,9.0142,5.0599,5.011
198002,-1.9325,-2.0778,-1.4465,2.9975,-0.4745,-3.6021
198003,-18.0164,-16.4018,-18.8847,-13.4276,-9.2653,-9.875
198004,6.663,5.524,6.1161,5.4886,4.6859,4.9041
198005,7.5839,7.8628,8.431,6.4493,5.0456,6.5999
198006,3.9098,4.7304,5.176,2.7599,3.2481,3.4208
198007,8.221,8.9207,12.9605,7.2557,5.8329,7.5034
198008,5.5163,5.6688,6.8553,1.7278,1.7206,1.9957
198009,2.7264,2.4498,4.826,2.2212,1.7612,5.7423
198010,3.0864,3.6791,4.6239,1.8639,1.1974,2.9232
198011,5.341,5.168,10.3908,8.6343,10.0017,15.07
198012,-2.5684,-1.9614,-4.4884,-3.4136,-2.3975,-3.8795
198101,0.5511,0.9288,-2.9049,-3.0359,-2.9892,-8.3255
198102,1.8383,2.4996,0.1423,3.099,2.54,0.2552
198103,6.5704,7.0668,9.1365,6.4913,2.6807,4.8261
198104,3.1519,3.2386,3.21,-0.2972,-1.4794,-2.7505
198105,2.7721,2.747,4.4392,-0.4049,0.9105,1.1421
198106,-0.3532,0.2556,-4.1916,-0.4874,0.0072,-2.0471
198107,-2.2656,-2.0611,-2.5634,-3.5813,-0.6803,2.7812
198108,-7.2624,-5.5183,-8.9843,-5.6484,-4.7229,-6.8565
198109,-7.3949,-5.8485,-9.4968,-5.064,-3.2919,-8.5581
198110,7.5901,7.1179,8.6691,4.7761,3.9318,9.3203
198111,2.846,4.8933,2.2227,4.8789,4.5882,4.2924
198112,-0.9102,-1.1,-2.7002,-1.7158,-2.0585,-4.6788
198201,-2.7938,-2.6198,-4.6277,-2.2621,-0.4746,-4.593
198202,-3.3967,-1.9163,-6.4679,-2.2609,-3.4085,-8.2791
198203,0.442,0.2628,-2.2288,-0.7365,0.4939,-2.7889
198204,5.3188,4.9877,6.381,6.2632,3.2774,5.5431
198205,-2.3463,-1.6489,-2.9963,-3.6612,-2.6298,-2.8641
198206,-2,-1.3427,-3.5873,-0.8295,-0.421,-4.6243
198207,-0.5862,-0.8384,-2.3283,-2.246,-1.5112,-3.622
198208,8.8067,8.5291,8.4285,13.233,11.7628,13.181
198209,3.7166,4.9246,2.9112,0.9257,1.5031,1.8679
198210,13.3649,12.9482,14.7806,14.3423,9.7986,13.6391
198211,9.9806,8.9615,8.833,5.2375,3.8947,5.7548
198212,2.1519,0.7471,1.1709,0.9417,2.1271,-0.2616
198301,6.8672,5.5934,8.1584,4.0401,3.4186,3.7455
198302,7.1984,6.8122,4.182,2.4558,2.6774,3.4119
198303,6.9414,5.4683,3.186,5.2897,2.8762,3.3829
198304,8.5021,7.6324,7.2025,8.239,7.5203,6.3812
198305,6.7478,5.0131,7.2753,-0.2704,-1.3623,2.3874
198306,5.0144,4.3704,4.3601,2.3759,3.3426,4.8722
198307,-1.7175,-1.2637,-3.3472,-1.243,-2.8052,-5.3396
198308,-3.4918,-2.0012,-3.795,3.1955,1.3423,-0.4163
198309,2.1955,2.4601,1.3478,1.3747,2.2563,1.0039
198310,-4.7499,-4.1537,-7.306,-0.7941,-0.7658,-4.1826
198311,5.1259,4.7673,3.9541,3.0648,1.9016,2.9228
198312,-0.8469,-0.9443,-2.22,-0.1999,-0.7995,-1.1917
198401,-0.3782,-0.1711,-2.5101,0.2844,0.0407,-3.5358
198402,-5.5331,-4.8533,-5.8349,-2.3756,-3.3514,-5.1864
198403,1.7886,1.0153,0.865,2.3187,1.0011,1.0488
198404,-0.9175,0.0671,-0.7363,1.3616,1.1309,-0.3156
198405,-5.3765,-3.7862,-6.0687,-6.0063,-5.0038,-4.3445
198406,2.1575,3.0239,3.0349,1.133,3.3913,3.2788
198407,-5.8212,-2.0696,-4.7952,-3.9935,-1.1498,-0.832
198408,10.6139,10.1184,12.9071,12.8538,9.9705,12.3373
198409,0.4764,1.6547,-1.9999,0.8922,0.5058,-1.6141
198410,-2.5892,0.0862,-1.2813,-1.0059,1.1668,0.2429
198411,-1.6298,-0.1215,-3.4169,-0.0869,-0.3979,-2.4975
